Name,Model,Subtitle,Acceleration,Top_Speed,Range,Efficiency,Fast_Charge,Drive_Type,No_Of_Seats,Germany_Price,UK_Price
Opel,Vivaro-e Combi M 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€50,992","£36,995"
Mercedes,eVito Tourer Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160 km/h,210 km,286 Wh/km,310 km/h,Front Wheel Drive,9,"€60,678",N/A
NIO,EL7 75 kWh,70.5 kWh useable battery          Available since December 2022,3.9 sec,200 km/h,340 km,207 Wh/km,460 km/h,All Wheel Drive,5,"€85,900",N/A
Mercedes,EQE 500 4MATIC,90.6 kWh useable battery          Available since May 2023,4.7 sec,210 km/h,485 km,187 Wh/km,720 km/h,All Wheel Drive,5,"€88,215",N/A
Citroen,e-SpaceTourer M 75 kWh,68 kWh useable battery*          Available since February 2021,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€59,640",N/A
Porsche,Taycan Turbo Sport Turismo,83.7 kWh useable battery          Available since March 2022,3.2 sec,260 km/h,405 km,207 Wh/km,1000 km/h,All Wheel Drive,4,"€165,372","£126,800"
VinFast,VF 8 Plus Extended Range,87.7 kWh useable battery          Expected from September 2023,5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,All Wheel Drive,5,"€58,890",N/A
Toyota,PROACE Shuttle M 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,N/A,N/A
Citroen,e-SpaceTourer XL 75 kWh,68 kWh useable battery*          Available since February 2021,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€60,430",N/A
Mercedes,eVito Tourer Extra-Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160 km/h,205 km,293 Wh/km,300 km/h,Front Wheel Drive,9,"€61,571",N/A
Mercedes,EQE AMG 53 4MATIC+,90.6 kWh useable battery          Available since May 2023,3.5 sec,220 km/h,465 km,195 Wh/km,690 km/h,All Wheel Drive,5,"€110,706",N/A
Fiat,E-Ulysse L2 75 kWh,68 kWh useable battery*          Available since June 2022,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,8,"€61,990",N/A
Opel,Zafira-e Life L 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€64,075","£43,575"
Opel,Vivaro-e Combi L 75 kWh,68 kWh useable battery*          Available since October 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€57,775",N/A
Peugeot,e-Traveller Standard 75 kWh,68 kWh useable battery*          Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€59,640",N/A
Citroen,e-Jumpy Combi M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€51,940",N/A
Porsche,Taycan 4S Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,4.0 sec,250 km/h,430 km,195 Wh/km,1060 km/h,All Wheel Drive,4,"€120,081","£95,996"
Mercedes,EQV 250 Extra-Long,60 kWh useable battery          Available since October 2021,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,Front Wheel Drive,7,"€68,949",N/A
Citroen,e-SpaceTourer XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€54,430","£37,885"
Fiat,E-Ulysse L3 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,8,"€56,990",N/A
