Name,Model,Subtitle,Acceleration,Top_Speed,Range,Efficiency,Fast_Charge,Drive_Type,No_Of_Seats,Germany_Price,UK_Price
Tesla,Model 3,57.5 kWh useable battery*          Available since December 2021,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,Rear Wheel Drive,5,N/A,"£42,990"
Tesla,Model Y Long Range Dual Motor,75 kWh useable battery*          Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,All Wheel Drive,5,"€59,017","£52,990"
Tesla,Model 3 Long Range Dual Motor,75 kWh useable battery*          Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,All Wheel Drive,5,N/A,"£50,990"
BYD,ATTO 3,60.5 kWh useable battery          Available since August 2022,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,Front Wheel Drive,5,"€44,625","£37,195"
Tesla,Model 3,57.5 kWh useable battery*          Available since September 2023,6.1 sec,201 km/h,420 km,137 Wh/km,700 km/h,Rear Wheel Drive,5,"€46,220","* £44,000"
Tesla,Model Y,57.5 kWh useable battery*          Available since November 2022,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,Rear Wheel Drive,5,"€47,567","£44,990"
Tesla,Model 3 Long Range Dual Motor,75 kWh useable battery*          Available since September 2023,4.4 sec,201 km/h,505 km,149 Wh/km,780 km/h,All Wheel Drive,5,"€55,220","* £52,000"
MG,MG4 Electric 64 kWh,61.7 kWh useable battery          Available since October 2022,7.9 sec,160 km/h,360 km,171 Wh/km,560 km/h,Rear Wheel Drive,5,"€39,990","£29,495"
Tesla,Model 3 Performance,75 kWh useable battery*          Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,All Wheel Drive,5,N/A,"£57,990"
BMW,i4 eDrive40,80.7 kWh useable battery          Available since November 2021,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,Rear Wheel Drive,5,"€59,200","£57,890"
Tesla,Model Y Performance,75 kWh useable battery*          Available since March 2022,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,All Wheel Drive,5,"€63,667","£59,990"
Tesla,Model S Plaid,95 kWh useable battery*          Available since November 2022,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,All Wheel Drive,5,"€110,970","* £100,000"
BMW,iX1 xDrive30,64.7 kWh useable battery          Available since November 2022,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,All Wheel Drive,5,"€55,000","£53,295"
Smart,#1,62 kWh useable battery          Available since March 2023,6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,Rear Wheel Drive,5,"€42,490","£35,950"
Tesla,Model S Dual Motor,95 kWh useable battery*          Available since January 2023,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,All Wheel Drive,5,"€95,970","* £85,000"
Renault,Megane E-Tech EV60 220hp,60 kWh useable battery          Available since April 2022,7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,Front Wheel Drive,5,"€46,600","£36,995"
Mercedes,EQE 350+,90.6 kWh useable battery          Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A
BYD,HAN,85.4 kWh useable battery          Available since March 2023,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,All Wheel Drive,5,"€70,805",N/A
BMW,iX xDrive40,71 kWh useable battery          Available since October 2021,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,All Wheel Drive,5,"€77,300","£69,905"
Hyundai,Kona Electric 64 kWh,64 kWh useable battery          Available since June 2021,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€42,900",N/A
Volvo,EX30 Single Motor ER,64 kWh useable battery          Available since June 2023,5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,Rear Wheel Drive,5,"€41,790","£38,545"
Skoda,Enyaq iV 80,77 kWh useable battery          Available since April 2021,8.6 sec,160 km/h,440 km,175 Wh/km,680 km/h,Rear Wheel Drive,5,"€48,900","£42,925"
BYD,TANG,86.4 kWh useable battery          Available since August 2022,4.6 sec,180 km/h,360 km,240 Wh/km,330 km/h,All Wheel Drive,7,"€71,400",N/A
Kia,Niro EV,64.8 kWh useable battery          Available since June 2022,7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,Front Wheel Drive,5,"€45,690","£37,295"
Mercedes,EQS 450+,107.8 kWh useable battery          Available since October 2021,6.2 sec,210 km/h,635 km,170 Wh/km,950 km/h,Rear Wheel Drive,5,"€109,551","£105,610"
Mercedes,EQC 400 4MATIC,80 kWh useable battery          Available since November 2020,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5,"€66,069",N/A
Tesla,Model 3 Long Range RWD,75 kWh useable battery*          Available since April 2023,5.9 sec,233 km/h,495 km,152 Wh/km,770 km/h,Rear Wheel Drive,5,N/A,"£46,990"
Audi,e-tron GT RS,85 kWh useable battery          Available since March 2021,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,All Wheel Drive,4,"€146,050","£119,000"
Dacia,Spring Electric 45,25 kWh useable battery*          Available since July 2022,19.1 sec,125 km/h,165 km,152 Wh/km,180 km/h,Front Wheel Drive,4,"€22,550",N/A
Hyundai,IONIQ 6 Long Range AWD,74 kWh useable battery*          Available since November 2022,5.1 sec,185 km/h,440 km,168 Wh/km,1150 km/h,All Wheel Drive,5,"€61,100","£50,540"
Hongqi,E-HS9 99 kWh,90 kWh useable battery          Available since December 2022,4.9 sec,200 km/h,370 km,243 Wh/km,430 km/h,All Wheel Drive,5,N/A,N/A
Renault,Zoe ZE50 R110,52 kWh useable battery          Available since November 2019,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"€36,840",N/A
MG,ZS EV Long Range,68.3 kWh useable battery          Available since November 2021,8.4 sec,175 km/h,370 km,185 Wh/km,420 km/h,Front Wheel Drive,5,"€37,990","£32,995"
Peugeot,e-208,46.3 kWh useable battery          Available since November 2021,8.1 sec,150 km/h,285 km,162 Wh/km,460 km/h,Front Wheel Drive,5,"€39,100","£31,595"
Audi,Q4 e-tron 40,76.6 kWh useable battery          Available since June 2021,8.5 sec,160 km/h,405 km,189 Wh/km,630 km/h,Rear Wheel Drive,5,"€51,900","£50,630"
Volkswagen,ID.4 Pro Performance,77 kWh useable battery          Available since January 2021,8.5 sec,160 km/h,410 km,188 Wh/km,630 km/h,Rear Wheel Drive,5,"€46,335","£46,035"
BMW,iX xDrive50,105.2 kWh useable battery          Available since November 2021,4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,All Wheel Drive,5,"€100,100","£102,755"
BMW,i7 xDrive60,101.7 kWh useable battery          Available since November 2022,4.7 sec,240 km/h,510 km,199 Wh/km,760 km/h,All Wheel Drive,5,"€139,900","£113,970"
BMW,i4 M50,80.7 kWh useable battery          Available since November 2021,3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,All Wheel Drive,5,"€70,800","£71,085"
Volkswagen,ID.4 Pro,77 kWh useable battery          Available since February 2022,10.4 sec,160 km/h,410 km,188 Wh/km,630 km/h,Rear Wheel Drive,5,N/A,"£44,605"
BMW,i4 eDrive35,67 kWh useable battery          Available since November 2022,6.0 sec,190 km/h,430 km,156 Wh/km,580 km/h,Rear Wheel Drive,5,"€56,500","£49,995"
Zeekr,001 Performance AWD,94 kWh useable battery*          Expected from October 2023,3.8 sec,200 km/h,505 km,186 Wh/km,700 km/h,All Wheel Drive,5,"€63,970",N/A
BMW,iX3,74 kWh useable battery          Available since September 2021,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€67,300","£64,165"
MG,MG4 Electric 51 kWh,50.8 kWh useable battery          Available since October 2022,7.7 sec,160 km/h,300 km,169 Wh/km,340 km/h,Rear Wheel Drive,5,"€34,990","£26,995"
Volkswagen,ID.3 Pro,58 kWh useable battery          Available since March 2023,7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,Rear Wheel Drive,5,"€39,995","£37,115"
Toyota,bZ4X FWD,64 kWh useable battery          Available since June 2022,7.5 sec,160 km/h,340 km,188 Wh/km,510 km/h,Front Wheel Drive,5,"€47,490","£46,110"
Lexus,RZ 450e,64 kWh useable battery          Available since February 2023,5.6 sec,160 km/h,320 km,200 Wh/km,480 km/h,All Wheel Drive,5,"€68,000","£64,500"
Kia,EV6 GT,74 kWh useable battery*          Available since April 2022,3.5 sec,260 km/h,360 km,206 Wh/km,940 km/h,All Wheel Drive,5,"€72,990","£62,645"
Mini,Cooper SE,28.9 kWh useable battery          Available since March 2021,7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,Front Wheel Drive,4,"€35,700","£32,550"
Jeep,Avenger Electric,50.8 kWh useable battery          Available since January 2023,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,Front Wheel Drive,5,"€37,000","£35,700"
Volkswagen,ID.7 Pro,77 kWh useable battery          Available since August 2023,6.5 sec,180 km/h,475 km,162 Wh/km,710 km/h,Rear Wheel Drive,5,"€56,995","* £53,000"
Kia,EV6 Long Range 2WD,74 kWh useable battery*          Available since October 2021,7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,Rear Wheel Drive,5,"€51,990","£45,245"
Volkswagen,ID. Buzz Pro,77 kWh useable battery          Available since September 2022,10.2 sec,145 km/h,345 km,223 Wh/km,480 km/h,Rear Wheel Drive,5,"€64,581","£58,915"
Audi,Q8 e-tron 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200 km/h,495 km,214 Wh/km,630 km/h,All Wheel Drive,5,"€85,300","£77,800"
Volvo,EX30 Single Motor,49 kWh useable battery          Available since June 2023,5.7 sec,180 km/h,280 km,175 Wh/km,430 km/h,Rear Wheel Drive,5,"€36,590","£33,795"
Fiat,500e Hatchback 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,Front Wheel Drive,4,"€34,990","£31,195"
Opel,Astra Electric,50.8 kWh useable battery          Available since June 2023,8.5 sec,170 km/h,310 km,164 Wh/km,500 km/h,Front Wheel Drive,5,"€45,060","£39,995"
Tesla,Model X Dual Motor,95 kWh useable battery*          Available since January 2023,3.9 sec,250 km/h,475 km,200 Wh/km,660 km/h,All Wheel Drive,7,"€100,970","* £105,000"
Nissan,Leaf,39 kWh useable battery          Available since March 2022,7.9 sec,144 km/h,235 km,166 Wh/km,230 km/h,Front Wheel Drive,5,"€33,400","£28,995"
Volkswagen,ID.4 Pure,52 kWh useable battery          Available since February 2021,10.9 sec,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,"£38,845"
Nissan,Ariya 87kWh,87 kWh useable battery          Available since July 2022,7.6 sec,160 km/h,450 km,193 Wh/km,540 km/h,Front Wheel Drive,5,"€58,990","£44,645"
MG,MG4 Electric 77 kWh,74.4 kWh useable battery          Available since August 2023,6.5 sec,180 km/h,425 km,175 Wh/km,430 km/h,Rear Wheel Drive,5,N/A,"£36,495"
CUPRA,Born 150 kW - 58 kWh,58 kWh useable battery          Available since October 2021,7.3 sec,160 km/h,350 km,166 Wh/km,470 km/h,Rear Wheel Drive,5,"€39,370","£36,475"
Hyundai,Kona Electric 65 kWh,65.4 kWh useable battery          Available since July 2023,8.8 sec,170 km/h,390 km,168 Wh/km,400 km/h,Front Wheel Drive,5,"* €48,000","£38,595"
BMW,i5 eDrive40 Sedan,81.2 kWh useable battery          Available since May 2023,6.0 sec,193 km/h,475 km,171 Wh/km,710 km/h,Rear Wheel Drive,5,"€70,200","£74,105"
BYD,DOLPHIN 60.4 kWh,60.5 kWh useable battery          Available since July 2023,7.0 sec,160 km/h,340 km,178 Wh/km,340 km/h,Front Wheel Drive,5,"€36,240","* £31,000"
Opel,Mokka-e,46.3 kWh useable battery          Available since November 2021,9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,Front Wheel Drive,5,"€40,650","£38,835"
Hyundai,IONIQ 6 Long Range 2WD,74 kWh useable battery*          Available since December 2022,7.4 sec,185 km/h,495 km,149 Wh/km,1290 km/h,Rear Wheel Drive,5,"€54,000","£47,040"
MG,MG4 Electric XPOWER,61.7 kWh useable battery          Available since August 2023,3.8 sec,200 km/h,320 km,193 Wh/km,490 km/h,All Wheel Drive,5,"€46,990","£36,495"
MG,MG5 Electric Long Range,57.4 kWh useable battery          Available since March 2022,7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,Front Wheel Drive,5,"€38,490","£30,995"
Mercedes,EQA 250+,70.5 kWh useable battery          Available since June 2022,8.6 sec,160 km/h,420 km,168 Wh/km,580 km/h,Front Wheel Drive,5,"€52,205","£49,750"
Skoda,Enyaq iV 60,58 kWh useable battery          Available since April 2021,8.7 sec,160 km/h,340 km,171 Wh/km,460 km/h,Rear Wheel Drive,5,N/A,"£38,970"
Mercedes,EQS 580 4MATIC,107.8 kWh useable battery          Available since October 2021,4.3 sec,210 km/h,595 km,181 Wh/km,890 km/h,All Wheel Drive,5,"€141,705",N/A
Tesla,Model X Plaid,95 kWh useable battery*          Available since November 2022,2.6 sec,262 km/h,455 km,209 Wh/km,630 km/h,All Wheel Drive,7,"€115,970","* £120,000"
Volkswagen,ID.7 Pro S,86 kWh useable battery          Expected from October 2023,7.0 sec,180 km/h,520 km,165 Wh/km,800 km/h,Rear Wheel Drive,5,"* €60,000","* £56,000"
Rolls-Royce,Spectre,100 kWh useable battery*          Expected from November 2023,4.5 sec,250 km/h,455 km,220 Wh/km,540 km/h,All Wheel Drive,4,"* €400,000","* £350,000"
Fisker,Ocean Ultra,106.5 kWh useable battery          Available since March 2023,4.2 sec,200 km/h,535 km,199 Wh/km,640 km/h,All Wheel Drive,5,"€57,000","£49,880"
Hyundai,IONIQ 5 Long Range 2WD,74 kWh useable battery*          Available since April 2022,7.3 sec,185 km/h,390 km,190 Wh/km,1020 km/h,Rear Wheel Drive,5,"€47,900","£46,945"
Citroen,e-C4,46.3 kWh useable battery          Available since November 2021,9.7 sec,150 km/h,290 km,160 Wh/km,460 km/h,Front Wheel Drive,5,"€36,040","£31,995"
Volkswagen,e-Up!,32.3 kWh useable battery          Available since August 2021,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,"€29,995",N/A
BYD,DOLPHIN 44.9 kWh Active,44.9 kWh useable battery          Available since July 2023,10.0 sec,150 km/h,255 km,176 Wh/km,260 km/h,Front Wheel Drive,5,"€29,990","* £26,000"
Polestar,2 Long Range Single Motor,79 kWh useable battery          Available since January 2023,6.2 sec,205 km/h,455 km,174 Wh/km,680 km/h,Rear Wheel Drive,5,"€54,475","£48,950"
Lucid,Air Dream Edition R,118 kWh useable battery*          Available since January 2022,2.9 sec,270 km/h,685 km,172 Wh/km,870 km/h,All Wheel Drive,5,"€218,000",N/A
Volvo,EX30 Twin Motor Performance,64 kWh useable battery          Available since June 2023,3.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,All Wheel Drive,5,"€48,490","£40,995"
Kia,EV9 99.8 kWh AWD,95 kWh useable battery*          Available since September 2023,6.0 sec,200 km/h,420 km,226 Wh/km,760 km/h,All Wheel Drive,7,"€76,490",N/A
Mercedes,EQB 250,66.5 kWh useable battery          Available since March 2022,8.9 sec,160 km/h,385 km,173 Wh/km,550 km/h,Front Wheel Drive,7,"€52,550",N/A
Renault,Zoe ZE50 R135,52 kWh useable battery          Available since November 2019,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"€37,840","£29,995"
Lotus,Eletre,109 kWh useable battery          Available since March 2023,4.5 sec,250 km/h,495 km,220 Wh/km,1040 km/h,All Wheel Drive,5,"€95,990","£89,500"
Kia,EV6 Long Range AWD,74 kWh useable battery*          Available since October 2021,5.2 sec,185 km/h,400 km,185 Wh/km,1050 km/h,All Wheel Drive,5,"€55,980","£51,745"
CUPRA,Born 170 kW - 77 kWh,77 kWh useable battery          Available since March 2022,7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,Rear Wheel Drive,4,"€46,450","£41,975"
Opel,Corsa-e,46.3 kWh useable battery          Available since November 2021,8.1 sec,150 km/h,295 km,157 Wh/km,470 km/h,Front Wheel Drive,5,N/A,"£33,930"
BMW,iX M60,105.2 kWh useable battery          Available since April 2022,3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,All Wheel Drive,5,"€136,100","£122,775"
Volvo,XC40 Recharge Twin Motor,79 kWh useable battery          Available since December 2022,4.8 sec,180 km/h,390 km,203 Wh/km,580 km/h,All Wheel Drive,5,"€59,950","£51,755"
Hyundai,IONIQ 5 Long Range AWD,74 kWh useable battery*          Available since April 2022,5.1 sec,185 km/h,385 km,192 Wh/km,1010 km/h,All Wheel Drive,5,"€59,200","£50,445"
Tesla,Model Y,57.5 kWh useable battery*          Available since May 2023,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,Rear Wheel Drive,5,"€47,567","£44,990"
Mazda,MX-30,30 kWh useable battery*          Available since May 2022,9.7 sec,140 km/h,170 km,176 Wh/km,210 km/h,Front Wheel Drive,5,"€35,990","£31,250"
Polestar,4 Long Range Dual Motor,94 kWh useable battery          Expected from February 2024,3.8 sec,200 km/h,475 km,198 Wh/km,710 km/h,All Wheel Drive,5,"* €65,000","* £60,000"
Mercedes,EQB 350 4MATIC,66.5 kWh useable battery          Available since February 2022,6.2 sec,160 km/h,340 km,196 Wh/km,490 km/h,All Wheel Drive,7,"€58,197","£56,810"
MG,Marvel R Performance,70 kWh useable battery*          Available since October 2021,4.9 sec,200 km/h,350 km,200 Wh/km,380 km/h,All Wheel Drive,5,"€50,990",N/A
Subaru,Solterra AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160 km/h,320 km,200 Wh/km,480 km/h,All Wheel Drive,5,"€57,490","£49,995"
Renault,Twingo Electric,21.3 kWh useable battery          Available since November 2020,12.6 sec,135 km/h,135 km,158 Wh/km,-,Rear Wheel Drive,4,"€28,000",N/A
Audi,Q4 e-tron 35,52 kWh useable battery          Available since June 2021,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,N/A
Mercedes,EQE 300,89 kWh useable battery          Available since July 2022,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,Rear Wheel Drive,5,N/A,"£74,345"
NIO,ET5 100 kWh,90 kWh useable battery          Available since December 2022,4.0 sec,200 km/h,500 km,180 Wh/km,520 km/h,All Wheel Drive,5,"€68,500",N/A
Maxus,MIFA 9,90 kWh useable battery*          Available since February 2023,9.2 sec,180 km/h,345 km,261 Wh/km,290 km/h,Front Wheel Drive,7,"€68,990","£65,290"
Zeekr,001 Long Range RWD,94 kWh useable battery*          Expected from October 2023,7.2 sec,200 km/h,530 km,177 Wh/km,740 km/h,Rear Wheel Drive,5,"€60,970",N/A
Honda,e:Ny1,62 kWh useable battery*          Available since June 2023,7.6 sec,160 km/h,360 km,172 Wh/km,320 km/h,Front Wheel Drive,5,"€47,590",N/A
Polestar,4 Long Range Single Motor,94 kWh useable battery          Expected from February 2024,7.4 sec,180 km/h,510 km,184 Wh/km,760 km/h,Rear Wheel Drive,5,"* €60,000","* £55,000"
Hyundai,IONIQ 5 Standard Range 2WD,54 kWh useable battery*          Available since July 2021,8.5 sec,185 km/h,295 km,183 Wh/km,720 km/h,Rear Wheel Drive,5,"€43,900","£43,445"
Audi,e-tron GT quattro,85 kWh useable battery          Available since March 2021,4.1 sec,245 km/h,420 km,202 Wh/km,1030 km/h,All Wheel Drive,4,"€106,050","£87,800"
Hyundai,Kona Electric 39 kWh,39.2 kWh useable battery          Available since June 2021,9.9 sec,155 km/h,250 km,157 Wh/km,220 km/h,Front Wheel Drive,5,"€36,400",N/A
Fisker,Ocean One,106.5 kWh useable battery          Available since March 2023,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,All Wheel Drive,5,"€69,950","£60,880"
Audi,Q8 e-tron Sportback 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200 km/h,525 km,202 Wh/km,660 km/h,All Wheel Drive,5,"€87,550","£80,300"
Skoda,Enyaq Coupe iV RS,77 kWh useable battery          Available since March 2022,6.5 sec,180 km/h,435 km,177 Wh/km,600 km/h,All Wheel Drive,5,"€63,300","£54,370"
Volvo,XC40 Recharge Single Motor ER,79 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,405 km,195 Wh/km,600 km/h,Rear Wheel Drive,5,"€53,000",N/A
Audi,Q8 e-tron 50 quattro,89 kWh useable battery          Available since December 2022,6.0 sec,200 km/h,420 km,212 Wh/km,650 km/h,All Wheel Drive,5,"€74,400","£67,800"
BMW,iX1 eDrive20,64.7 kWh useable battery          Available since September 2023,8.3 sec,170 km/h,385 km,168 Wh/km,550 km/h,Front Wheel Drive,5,"€47,900","£44,560"
Smart,#1 Brabus,62 kWh useable battery          Available since March 2023,3.9 sec,180 km/h,315 km,197 Wh/km,490 km/h,All Wheel Drive,5,"€48,990","£43,450"
Volkswagen,ID.3 Pro S - 4 Seats,77 kWh useable battery          Available since March 2023,7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,Rear Wheel Drive,4,"€47,595","£42,870"
Zeekr,X Privilege AWD,64 kWh useable battery          Expected from October 2023,3.8 sec,180 km/h,350 km,183 Wh/km,520 km/h,All Wheel Drive,5,"€50,470",N/A
Peugeot,e-308,50.8 kWh useable battery          Available since April 2023,9.8 sec,170 km/h,300 km,169 Wh/km,450 km/h,Front Wheel Drive,5,"€44,765","* £37,000"
Mercedes,EQS SUV 580 4MATIC,108.4 kWh useable battery          Available since December 2022,4.6 sec,210 km/h,485 km,224 Wh/km,630 km/h,All Wheel Drive,7,"€135,434","£139,470"
Nissan,Leaf e+,59 kWh useable battery          Available since March 2022,6.9 sec,157 km/h,340 km,174 Wh/km,240 km/h,Front Wheel Drive,5,"€41,100","£34,945"
Mercedes,EQE SUV 350+,90.6 kWh useable battery          Available since December 2022,6.7 sec,210 km/h,450 km,201 Wh/km,670 km/h,Rear Wheel Drive,5,"€86,811",N/A
Audi,Q4 e-tron 50 quattro,76.6 kWh useable battery          Available since July 2021,6.2 sec,180 km/h,385 km,199 Wh/km,550 km/h,All Wheel Drive,5,"€57,900","£57,010"
MG,Marvel R,70 kWh useable battery*          Available since October 2021,7.9 sec,200 km/h,365 km,192 Wh/km,400 km/h,Rear Wheel Drive,5,"€46,990",N/A
Volkswagen,ID.4 GTX,77 kWh useable battery          Available since July 2022,6.3 sec,180 km/h,400 km,193 Wh/km,560 km/h,All Wheel Drive,5,"€53,255","£52,865"
Mercedes,EQB 300 4MATIC,66.5 kWh useable battery          Available since February 2022,8.0 sec,160 km/h,340 km,196 Wh/km,490 km/h,All Wheel Drive,7,"€55,519","£55,310"
Fiat,600e,50.8 kWh useable battery          Available since July 2023,9.0 sec,150 km/h,305 km,167 Wh/km,490 km/h,Front Wheel Drive,5,"€36,490","* £31,000"
XPENG,P7 Wing Edition,82.7 kWh useable battery          Available since February 2023,4.1 sec,200 km/h,465 km,178 Wh/km,650 km/h,All Wheel Drive,5,N/A,N/A
Dacia,Spring Electric 65 Extreme,25 kWh useable battery*          Available since January 2023,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,Front Wheel Drive,4,"€24,550",N/A
Skoda,Enyaq Coupe iV 80,77 kWh useable battery          Available since July 2022,8.7 sec,160 km/h,465 km,166 Wh/km,720 km/h,Rear Wheel Drive,5,"€54,400","£44,825"
Mercedes,EQV 300 Long,90 kWh useable battery          Available since September 2020,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,Front Wheel Drive,7,"€71,626","£87,995"
Mercedes,EQB 250+,70.5 kWh useable battery          Expected from November 2023,8.9 sec,160 km/h,415 km,170 Wh/km,560 km/h,Front Wheel Drive,7,"* €54,000",N/A
Polestar,3 Long Range Dual motor,107 kWh useable battery          Available since November 2022,5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,All Wheel Drive,5,"€88,600","£79,900"
Fisker,Ocean Sport,75 kWh useable battery*          Available since March 2023,7.4 sec,160 km/h,380 km,197 Wh/km,480 km/h,Front Wheel Drive,5,"€41,560","£35,970"
Toyota,bZ4X AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160 km/h,315 km,203 Wh/km,470 km/h,All Wheel Drive,5,"€57,390","£52,510"
XPENG,G9 RWD Standard Range,75 kWh useable battery*          Available since February 2023,6.4 sec,200 km/h,375 km,200 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A
Volvo,XC40 Recharge Single Motor,66 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,345 km,191 Wh/km,420 km/h,Rear Wheel Drive,5,"€47,500","£46,505"
MG,ZS EV Standard Range,49 kWh useable battery          Available since November 2021,8.6 sec,175 km/h,265 km,185 Wh/km,250 km/h,Front Wheel Drive,5,"€33,990","£30,495"
Skoda,Enyaq iV 80x,77 kWh useable battery          Available since June 2021,6.9 sec,160 km/h,425 km,181 Wh/km,590 km/h,All Wheel Drive,5,N/A,"£50,805"
Smart,#3,62 kWh useable battery          Expected from November 2023,6.7 sec,180 km/h,355 km,175 Wh/km,550 km/h,Rear Wheel Drive,5,"€43,490","* £37,000"
Mini,Cooper SE,49 kWh useable battery*          Expected from October 2023,6.7 sec,170 km/h,310 km,158 Wh/km,440 km/h,Front Wheel Drive,4,"€36,900","£34,500"
Polestar,2 Long Range Dual Motor,79 kWh useable battery          Available since January 2023,4.5 sec,205 km/h,440 km,180 Wh/km,660 km/h,All Wheel Drive,5,"€58,775","£52,950"
Citroen,e-C4 X,46.3 kWh useable battery          Available since November 2022,9.7 sec,150 km/h,275 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"€37,540","£31,995"
Ford,Mustang Mach-E ER RWD,91 kWh useable battery          Available since November 2022,7.0 sec,180 km/h,480 km,190 Wh/km,420 km/h,Rear Wheel Drive,5,"€71,200","£59,380"
Hyundai,IONIQ 6 Standard Range 2WD,54 kWh useable battery*          Available since January 2023,8.8 sec,185 km/h,365 km,148 Wh/km,900 km/h,Rear Wheel Drive,5,"€43,900",N/A
NIO,ET7 75 kWh,70.5 kWh useable battery          Available since October 2022,3.8 sec,200 km/h,400 km,176 Wh/km,540 km/h,All Wheel Drive,5,"€81,900",N/A
Renault,Megane E-Tech EV60 130hp,60 kWh useable battery          Available since April 2022,10.5 sec,150 km/h,380 km,158 Wh/km,530 km/h,Front Wheel Drive,5,"€47,000",N/A
Polestar,2 Standard Range Single Motor,67 kWh useable battery          Available since January 2023,6.4 sec,205 km/h,390 km,172 Wh/km,460 km/h,Rear Wheel Drive,5,"€50,775","£44,950"
SsangYong,Korando e-Motion,56 kWh useable battery*          Available since February 2022,8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,Front Wheel Drive,5,"€40,490",N/A
Kia,EV9 99.8 kWh RWD,95 kWh useable battery*          Available since June 2023,9.4 sec,185 km/h,445 km,213 Wh/km,810 km/h,Rear Wheel Drive,7,"€72,490","£64,995"
Mercedes,EQA 250,66.5 kWh useable battery          Available since June 2022,8.6 sec,160 km/h,395 km,168 Wh/km,570 km/h,Front Wheel Drive,5,"€50,777",N/A
BYD,DOLPHIN 44.9 kWh Boost,44.9 kWh useable battery          Available since July 2023,8.0 sec,160 km/h,255 km,176 Wh/km,260 km/h,Front Wheel Drive,5,"€32,740","* £28,500"
Peugeot,e-2008 54 kWh,50.8 kWh useable battery          Available since July 2023,9.1 sec,150 km/h,300 km,169 Wh/km,480 km/h,Front Wheel Drive,5,"* €40,000","£36,350"
Hongqi,E-HS9 84 kWh,76.5 kWh useable battery          Available since December 2022,6.5 sec,200 km/h,320 km,239 Wh/km,440 km/h,All Wheel Drive,5,N/A,N/A
