,Name,Description,Price,Rating,Rating_Count,URL
57,Refresh ,Men Regular Fit Solid Spread Collar Formal Shirt,₹375,3.9,357 ratings and 28 reviews,https://www.flipkart.com/refresh-men-solid-formal-blue-shirt/p/itm353290b93c062?pid=SHTFV3GRCXGS9NHA&lid=LSTSHTFV3GRCXGS9NHAQLLN2V&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_18&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BoDkxBpoYq4ZP_6nALWJn8e6nyJza5IClyjFQraE3ZGKw%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
58,ARROW ,Men Slim Fit Solid Formal Shirt,"₹1,315",4.6,48 ratings and 2 reviews,https://www.flipkart.com/arrow-men-solid-formal-black-shirt/p/itm3d5fd80070842?pid=SHTGHKJTSDQWCYUP&lid=LSTSHTGHKJTSDQWCYUPS9O68P&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_19&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGHKJTSDQWCYUP.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
59,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-black-shirt/p/itm5479dec8822cf?pid=SHTGMG75K5G6MQZ9&lid=LSTSHTGMG75K5G6MQZ9M4ZESK&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_20&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMG75K5G6MQZ9.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
60,STONEBERG ,Men Slim Fit Solid Spread Collar Formal Shirt,₹419,3.9,"17,729 ratings and 1,341 reviews",https://www.flipkart.com/stoneberg-men-solid-formal-pink-shirt/p/itm0860f3b01de1e?pid=SHTGGJV6JMPAF9QX&lid=LSTSHTGGJV6JMPAF9QX0R19UK&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_21&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BrxAUZhFjt0RYXT1riDY9uaSmzsrqGStQ3uF4bCiwZWOA%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
61,MILDIN ,Men Slim Fit Solid Mandarin Collar Formal Shirt,₹389,4,"13,543 ratings and 1,017 reviews",https://www.flipkart.com/mildin-men-solid-formal-maroon-shirt/p/itm30800938d6d76?pid=SHTG2J8DGGGNRGTX&lid=LSTSHTG2J8DGGGNRGTXCGOJDF&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_22&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BoAJKLr8enThINuuWBoHT3cJz2Tspt2gZDVOZeF_gWdcw%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
62,FIBERMILL ,Men Regular Fit Solid Spread Collar Formal Shirt,₹389,4,"2,576 ratings and 215 reviews",https://www.flipkart.com/fibermill-men-solid-formal-grey-shirt/p/itm919c0f36bb89a?pid=SHTGHQ6HGBG4EGKE&lid=LSTSHTGHQ6HGBG4EGKEDJPWVA&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_23&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGHQ6HGBG4EGKE.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
63,MILDIN ,Men Slim Fit Solid Spread Collar Formal Shirt,₹389,3.9,"32,913 ratings and 2,624 reviews",https://www.flipkart.com/mildin-men-solid-formal-white-shirt/p/itm636f0af915b48?pid=SHTFZHXDZS6V9YKC&lid=LSTSHTFZHXDZS6V9YKCMFSOZE&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_24&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTFZHXDZS6V9YKC.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
64,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-light-blue-shirt/p/itmed0af71605ada?pid=SHTGMG75NC6CF2SA&lid=LSTSHTGMG75NC6CF2SANAQQU6&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&spotlightTagId=BestsellerId_clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_25&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMG75NC6CF2SA.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
65,PARK AVENUE ,Men Slim Fit Striped Formal Shirt,"₹1,049", , ,https://www.flipkart.com/park-avenue-men-striped-formal-dark-green-shirt/p/itm4d4fcdbddbd8a?pid=SHTGR4TFYADFTAG3&lid=LSTSHTGR4TFYADFTAG3XQFT3V&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_26&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGR4TFYADFTAG3.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
66,STONEBERG ,Men Slim Fit Solid Spread Collar Formal Shirt,₹396,3.9,"17,729 ratings and 1,341 reviews",https://www.flipkart.com/stoneberg-men-solid-formal-dark-blue-shirt/p/itm830ed15a01d85?pid=SHTGEUM8TWVWWXZC&lid=LSTSHTGEUM8TWVWWXZCYA9KGO&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_27&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BrE1iXiYTZl2uEbqyKTAtInkrSf18SmUcE9a0lXy5Wcog%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
